ts,tx_outbox_pending,tx_outbox_dead,timeout_outbox_pending,orders_pending
2026-03-31 18:00:27,0	0	0	30040
2026-03-31 18:00:32,0	0	0	30040
2026-03-31 18:00:37,0	0	0	30040
2026-03-31 18:00:42,0	0	0	30040
2026-03-31 18:00:47,0	0	0	30040
2026-03-31 18:00:52,0	0	0	30040
2026-03-31 18:00:57,0	0	0	30040
2026-03-31 18:01:03,0	0	0	30040
2026-03-31 18:01:08,0	0	0	30040
2026-03-31 18:01:13,0	0	0	0
2026-03-31 18:01:18,0	0	0	12666
2026-03-31 18:01:23,0	0	0	29805
2026-03-31 18:01:28,0	0	0	30113
2026-03-31 18:01:33,0	0	0	30113
2026-03-31 18:01:38,0	0	0	30113
2026-03-31 18:01:43,0	0	0	30113
2026-03-31 18:01:48,9	0	0	30113
2026-03-31 18:01:54,115	0	0	30119
2026-03-31 18:01:59,168	0	0	30131
2026-03-31 18:02:04,286	0	0	30127
2026-03-31 18:02:09,514	0	0	30139
2026-03-31 18:02:14,806	0	0	30138
