ts,tx_outbox_pending,tx_outbox_dead,timeout_outbox_pending,orders_pending
2026-03-31 18:59:11,0	0	0	29979
2026-03-31 18:59:16,0	0	0	29979
2026-03-31 18:59:21,0	0	0	29979
2026-03-31 18:59:26,0	0	0	29979
2026-03-31 18:59:31,0	0	0	29979
2026-03-31 18:59:37,0	0	0	29979
2026-03-31 18:59:42,0	0	0	29979
2026-03-31 18:59:47,0	0	0	29979
2026-03-31 18:59:52,0	0	0	29979
2026-03-31 18:59:57,0	0	0	29979
2026-03-31 19:00:03,0	0	0	29979
2026-03-31 19:00:08,0	0	0	29979
2026-03-31 19:00:13,0	0	0	29979
2026-03-31 19:00:18,0	0	0	29979
2026-03-31 19:00:23,0	0	0	29979
2026-03-31 19:00:28,0	0	0	29979
2026-03-31 19:00:33,0	0	0	29979
2026-03-31 19:00:39,1791	0	0	29979
2026-03-31 19:00:44,1188	0	0	29988
2026-03-31 19:00:49,1804	0	0	30203
