ts,tx_diff,tx_inflight,timeout_diff,timeout_inflight,retry_tx_max,retry_timeout_max,dlq_tx_exists,dlq_timeout_exists
2026-04-02 19:49:01,8,8,0,0,0,0,0,0
2026-04-02 19:50:25,0,0,0,0,0,0,0,0
2026-04-02 19:51:25,0,0,0,0,0,0,0,0
2026-04-02 19:52:24,0,0,0,0,0,0,0,0
2026-04-02 19:53:24,0,0,0,0,0,0,0,0
2026-04-02 19:54:23,0,0,0,0,0,0,0,0
2026-04-02 19:55:22,0,0,0,0,0,0,0,0
2026-04-02 19:56:21,0,0,12,12,0,0,0,0
2026-04-02 19:57:25,0,0,21,21,0,0,0,0
2026-04-02 19:58:25,0,0,0,0,0,0,0,0
2026-04-02 19:59:24,0,0,0,0,0,0,0,0
2026-04-02 20:00:23,0,0,0,0,0,0,0,0
2026-04-02 20:01:22,0,0,0,0,0,0,0,0
2026-04-02 20:02:20,0,0,0,0,0,0,0,0
2026-04-02 20:03:19,0,0,0,0,0,0,0,0
2026-04-02 20:04:18,0,0,0,0,0,0,0,0
2026-04-02 20:05:17,0,0,0,0,0,0,0,0
2026-04-02 20:06:16,0,0,0,0,0,0,0,0
2026-04-02 20:07:15,0,0,0,0,0,0,0,0
2026-04-02 20:08:13,0,0,0,0,0,0,0,0
2026-04-02 20:09:15,0,0,0,0,0,0,0,0
2026-04-02 20:10:15,0,0,0,0,0,0,0,0
2026-04-02 20:11:14,0,0,0,0,0,0,0,0
2026-04-02 20:12:12,0,0,0,0,0,0,0,0
