ts,tx_diff,tx_inflight,timeout_diff,timeout_inflight,retry_tx_max,retry_timeout_max,dlq_tx_exists,dlq_timeout_exists
2026-04-02 19:26:15,8,8,0,0,0,0,0,0
2026-04-02 19:27:19,200,200,0,0,0,0,0,0
2026-04-02 19:28:20,0,0,0,0,0,0,0,0
2026-04-02 19:29:16,0,0,0,0,0,0,0,0
2026-04-02 19:30:10,0,0,0,0,0,0,0,0
2026-04-02 19:31:06,0,0,0,0,0,0,0,0
2026-04-02 19:32:01,0,0,0,0,0,0,0,0
2026-04-02 19:32:56,0,0,0,0,0,0,0,0
2026-04-02 19:33:51,0,0,0,0,0,0,0,0
2026-04-02 19:34:46,0,0,0,0,0,0,0,0
2026-04-02 19:35:41,0,0,0,0,0,0,0,0
2026-04-02 19:36:36,0,0,0,0,0,0,0,0
2026-04-02 19:37:31,0,0,0,0,0,0,0,0
2026-04-02 19:38:26,0,0,0,0,0,0,0,0
2026-04-02 19:39:21,0,0,0,0,0,0,0,0
2026-04-02 19:40:17,0,0,0,0,0,0,0,0
2026-04-02 19:41:12,0,0,0,0,0,0,0,0
2026-04-02 19:42:07,0,0,0,0,0,0,0,0
2026-04-02 19:43:02,0,0,0,0,0,0,0,0
2026-04-02 19:43:58,0,0,0,0,0,0,0,0
2026-04-02 19:44:53,0,0,0,0,0,0,0,0
2026-04-02 19:45:50,0,0,0,0,0,0,0,0
2026-04-02 19:46:48,0,0,0,0,0,0,0,0
2026-04-02 19:47:46,0,0,0,0,0,0,0,0
